个体编号,原始节点数,原始边数,结果点数
114823,2360,6330,1115
115017,2600,7702,1242
115219,2102,5300,1003
115320,3449,15673,1803
115825,2548,7456,1227
116221,1818,4469,852
116524,2479,6609,1196
116726,2554,6944,1219
117122,2934,10601,1494
117324,2824,9255,1397
117930,2949,10550,1460
118023,3208,11323,1620
118124,3889,20952,2028
118225,1731,3679,803
118528,3055,10700,1539
118730,2012,4826,979
118932,2000,4923,961
119126,3094,10550,1559
119732,2818,8870,1385
119833,2454,7330,1169
120111,2090,4974,993
120212,2562,6680,1220
120515,3928,17763,2081
120717,2871,8678,1404
121416,1786,4105,875
121618,1883,4521,929
121921,1876,4074,915
122317,2416,7239,1203
122620,3102,11420,1523
122822,2970,9392,1501
123117,2315,5710,1149
123420,2783,9006,1369
123521,1928,4753,913
123824,3338,12293,1664
123925,3176,11939,1597
124220,1552,3324,741
124422,2963,9530,1506
124624,2457,7000,1204
124826,2588,7619,1238
125525,3120,10986,1538
126325,3046,10991,1561
126628,2797,9013,1424
127327,1259,2278,582
127630,3592,14334,1805
127933,1486,3002,716
128026,2127,5319,1033
128127,2672,8158,1301
128632,2437,6154,1171
128935,2652,8021,1280
129028,2011,5078,942
129129,2846,9230,1433
129331,3348,11587,1725
129634,2930,10413,1454
129937,2656,7783,1320
130013,1651,3390,757
130316,2546,6940,1252
130417,1690,3341,821
130619,2457,8008,1180
130821,3111,11764,1557
130922,2614,6778,1244
131217,2559,8054,1206
131419,3097,11394,1535
131722,2507,7401,1234
131823,1892,4634,872
131924,2185,5162,1057
132017,2866,8246,1488
132118,2980,8363,1451
133019,2320,5569,1093
133625,1914,4291,897
133827,1707,3650,848
133928,2423,6488,1157
134021,3521,17306,1852
134223,2869,9439,1419
134324,2388,6449,1134
134425,3037,10593,1501
134728,1661,3446,784
134829,2475,6644,1201
135225,3626,17398,1837
135528,3768,16933,1938
135730,2211,5732,1054
135932,2305,6099,1114
136227,1460,3019,661
136732,3130,11936,1540
136833,2752,8955,1351
137027,2257,5496,1090
137128,3606,17894,1845
137229,1941,4311,953
137633,3278,11825,1656
137936,2964,9432,1497
138231,2841,9873,1418
138534,2650,7753,1275
138837,2450,6934,1209
139233,3108,10787,1578
139637,2913,10503,1438
139839,1731,3818,823
140117,3112,12024,1527
140319,2995,9729,1480
140420,3156,10346,1595
140824,2436,6502,1191
