,person,degree_centrality,hub_degree_centrality,betweenness_centrality,hub_betweenness_centrality,closeness_centrality,hub_closeness_centrality,clustering,hub_clustering,degree,hub_degree
0,114621,0.004662605333597054,0.005719956694334176,0.00043920902231478324,0.0005673306975204423,0.2474531792238432,0.2523905838242907,0.19682318933450896,0.20254703374593108,25.840158758794875,31.7
0,114823,0.004240460380192182,0.0055359076145795735,0.00044892528378371775,0.0008239061027336015,0.2323596675894446,0.24606748691013205,0.1958965678561636,0.20219219550681974,23.500631427025077,30.68
0,115017,0.004576535680851644,0.005160591844099603,0.00043011641668884405,0.0005154873795948998,0.23592512092515325,0.24943359817358918,0.2017769618909219,0.22019182846906432,25.363160743279813,28.6
0,115219,0.0039711183579472795,0.005936485023457235,0.0004324385530082767,0.0007257767700777544,0.21469774697797633,0.23212613382246125,0.18372117212533623,0.20846595641299515,22.007937939743822,32.9
0,115320,0.006559913820969781,0.008163118007939372,0.00041591586784722257,0.0007426346705444475,0.26583388880627457,0.2720550440532071,0.2479048839087276,0.2582797813055938,36.35504239581454,45.24
0,115825,0.004658373467161009,0.005081198123421148,0.0004300761618767165,0.0004297654570475175,0.23817804181722946,0.24394259824565417,0.20263024662484125,0.22878962501606442,25.816705755006314,28.16
0,116221,0.0034530076949003986,0.003904727535185853,0.0004240940923480679,0.0004115288053541507,0.20331546634893338,0.2204550226188942,0.17090837234673334,0.21406285657161883,19.136568645138013,21.64
0,116524,0.004099832203240529,0.005110068567304222,0.0004824323037171767,0.0006547764671246572,0.22396838601680133,0.23869174668873036,0.19293365832193382,0.24533996242022166,22.72127007035901,28.32
0,116726,0.004527250713281087,0.005409599422591123,0.0004290932676723712,0.0005937940233428273,0.22493883923400448,0.22001190446759109,0.17386623726369896,0.18993674496487564,25.090023453003788,29.98
0,117122,0.005600256724549701,0.00482497293395886,0.0004138852087970386,0.0003583253399031778,0.25727765327488317,0.24442724968167767,0.21196897985974883,0.21736114865561093,31.036622767454446,26.74
