,114823,115017,115219,115825,116221,116524,116726,117122,118023,118124,118225,118528,118730,118932,119126,119732,119833,120111,120212
114823,200.0,61.0,63.0,76.0,49.0,57.0,57.0,55.0,57.0,72.0,52.0,63.0,55.0,64.0,55.0,47.0,91.0,65.0,52.0
115017,74.0,200.0,43.0,76.0,40.0,84.0,80.0,51.0,74.0,72.0,38.0,73.0,50.0,50.0,62.0,72.0,64.0,58.0,60.0
115219,78.0,52.0,200.0,65.0,71.0,64.0,48.0,46.0,54.0,59.0,62.0,54.0,59.0,86.0,47.0,54.0,71.0,69.0,63.0
115825,78.0,84.0,59.0,200.0,48.0,76.0,76.0,55.0,71.0,77.0,39.0,55.0,44.0,54.0,64.0,71.0,76.0,59.0,42.0
116221,52.0,56.0,70.0,52.0,200.0,49.0,53.0,57.0,60.0,54.0,46.0,55.0,74.0,66.0,56.0,55.0,53.0,55.0,57.0
116524,59.0,76.0,55.0,71.0,49.0,200.0,86.0,46.0,63.0,55.0,32.0,52.0,49.0,43.0,58.0,58.0,62.0,39.0,57.0
116726,59.0,82.0,38.0,74.0,40.0,83.0,200.0,60.0,48.0,63.0,37.0,65.0,47.0,45.0,56.0,71.0,52.0,36.0,59.0
117122,56.0,52.0,57.0,64.0,66.0,39.0,61.0,200.0,92.0,90.0,64.0,89.0,66.0,60.0,91.0,79.0,52.0,41.0,71.0
118023,45.0,56.0,49.0,61.0,65.0,58.0,60.0,96.0,200.0,96.0,54.0,93.0,49.0,47.0,88.0,74.0,56.0,45.0,69.0
118124,48.0,47.0,43.0,56.0,45.0,41.0,46.0,58.0,71.0,200.0,40.0,68.0,41.0,38.0,81.0,49.0,49.0,43.0,57.0
118225,64.0,51.0,76.0,68.0,68.0,44.0,50.0,65.0,58.0,65.0,200.0,65.0,69.0,88.0,51.0,65.0,59.0,67.0,73.0
118528,56.0,59.0,50.0,55.0,47.0,51.0,65.0,86.0,95.0,80.0,49.0,200.0,54.0,52.0,93.0,77.0,43.0,48.0,67.0
118730,53.0,46.0,61.0,55.0,65.0,56.0,55.0,69.0,63.0,52.0,53.0,56.0,200.0,62.0,50.0,58.0,50.0,57.0,56.0
118932,85.0,60.0,90.0,68.0,71.0,51.0,48.0,63.0,49.0,62.0,67.0,59.0,65.0,200.0,46.0,70.0,66.0,64.0,61.0
119126,41.0,52.0,48.0,75.0,54.0,71.0,75.0,82.0,91.0,106.0,49.0,94.0,51.0,43.0,200.0,80.0,53.0,49.0,63.0
119732,56.0,77.0,42.0,61.0,51.0,76.0,82.0,79.0,74.0,75.0,53.0,82.0,42.0,61.0,85.0,200.0,55.0,50.0,48.0
119833,103.0,63.0,72.0,72.0,50.0,68.0,59.0,46.0,57.0,57.0,42.0,57.0,49.0,62.0,52.0,52.0,200.0,64.0,63.0
120111,71.0,60.0,79.0,65.0,58.0,53.0,41.0,48.0,51.0,66.0,56.0,50.0,56.0,72.0,49.0,54.0,70.0,200.0,57.0
120212,58.0,47.0,60.0,38.0,64.0,50.0,47.0,62.0,55.0,72.0,47.0,65.0,56.0,50.0,64.0,52.0,57.0,50.0,200.0
